Invoice_ID,Date,Customer_Name,Customer_Email,Product_Name,Category,Quantity,Unit_Price,Discount(%),Payment_Method,Store_Location,Salesperson,Total_Sales
INV1027,3/20/2025,Latasha Page,brandi62@green.info,Milk Chocolate Bar,Bars,2,8.34,5,Online Transfer,Downtown,Sean,15.85
INV1028,11/27/2025,Rachel Anthony,emilydavidson@yahoo.com,Chocolate-Covered Nuts,Gifts,8,18.78,10,Cash,Airport Kiosk,David,135.22
INV1029,10/25/2025,Michelle Webb,michele61@yahoo.com,Hot Chocolate Mix,Nuts,5,13.66,15,Cash,Uptown,Russell,58.05
INV1030,3/16/2025,Amy Tucker,andrea92@krause-price.com,Chocolate Truffles,Bars,7,4.32,5,Credit Card,Uptown,David,28.73
INV1031,1/19/2026,Samantha Barnes,ugonzalez@perry.com,Dark Chocolate Bar,Truffles,2,7.45,5,Credit Card,Uptown,Richard,14.16
INV1032,8/2/2025,Benjamin Harris PhD,stevencarter@hotmail.com,Dark Chocolate Bar,Truffles,8,17.87,0,Cash,Uptown,Brandon,142.96
INV1033,5/7/2025,Dustin Jones,crystal44@clark.net,White Chocolate Bar,Bars,2,4.21,10,Cash,Mall Outlet,Christopher,7.58
INV1034,3/17/2025,Daniel Jones,garzadavid@johnson.com,White Chocolate Bar,Truffles,4,21.65,5,Mobile Payment,Airport Kiosk,Kimberly,82.27
INV1035,5/4/2025,Kevin Brown,pvega@yahoo.com,Chocolate Gift Box,Bars,1,13.64,10,Online Transfer,Downtown,Ashley,12.28
INV1036,12/7/2025,Laurie Wade,michaelmorrow@ward.info,Milk Chocolate Bar,Nuts,5,13.31,5,Mobile Payment,Airport Kiosk,Madison,63.22
INV1037,12/8/2025,Daniel Bruce,imartinez@hotmail.com,Chocolate Truffles,Nuts,9,15.83,15,Credit Card,Mall Outlet,Dustin,121.1
INV1038,4/12/2025,Walter Sanchez,williamgarcia@wright.info,Chocolate Truffles,Bars,1,21.06,15,Mobile Payment,Uptown,James,17.9
INV1039,11/9/2025,Melissa Swanson,sara86@everett.com,Chocolate Gift Box,Nuts,9,10.33,5,Mobile Payment,Mall Outlet,Lauren,88.32
INV1040,3/23/2025,Joel Ramsey,yhopkins@taylor.com,Chocolate-Covered Nuts,Nuts,8,17.76,15,Mobile Payment,Airport Kiosk,Taylor,120.77
INV1041,2/18/2025,Lori Robles,kristin26@yahoo.com,Chocolate-Covered Nuts,Nuts,6,15.23,5,Mobile Payment,Downtown,Jennifer,86.81
INV1042,6/9/2025,David Evans,sstewart@roberts.biz,Chocolate Gift Box,Beverages,7,8.51,15,Online Transfer,Mall Outlet,Alex,50.63
INV1043,11/7/2025,Ashley Davis,sharoncook@mitchell-evans.com,Chocolate-Covered Nuts,Gifts,3,22.27,0,Online Transfer,Downtown,Brian,66.81
INV1044,10/25/2025,Tami Garcia,sara75@johnson-romero.com,White Chocolate Bar,Truffles,1,20.44,0,Cash,Mall Outlet,Carolyn,20.44
INV1045,12/17/2025,Philip Owen,aaronmendoza@hughes-cook.net,Chocolate Truffles,Beverages,5,17.32,0,Credit Card,Downtown,Jason,86.6
INV1046,7/27/2025,Matthew Vega,benjamin23@thompson-stone.org,Chocolate Gift Box,Nuts,2,21.64,10,Mobile Payment,Downtown,Chad,38.95
INV1047,12/27/2025,Ann Ramirez,williamsadam@yahoo.com,Chocolate Truffles,Bars,5,22.01,10,Cash,Uptown,Tammy,99.05
INV1048,3/23/2025,Debra Wilson,tammy30@yahoo.com,Dark Chocolate Bar,Nuts,8,18.44,0,Cash,Downtown,Kristin,147.52
INV1049,12/9/2025,Lindsey Hull,tiffanyallison@hotmail.com,White Chocolate Bar,Gifts,9,21.33,10,Cash,Uptown,Pamela,172.77
INV1050,7/6/2025,David Henderson,terrysamantha@lowe.net,Hot Chocolate Mix,Nuts,2,18.19,15,Online Transfer,Airport Kiosk,Priscilla,30.92
INV1051,8/17/2025,Cynthia Morales,stephensjoshua@cruz.info,White Chocolate Bar,Bars,3,17.8,5,Mobile Payment,Airport Kiosk,Joseph,50.73
INV1052,6/5/2025,Casey Ayala,joandaniel@gmail.com,Chocolate Gift Box,Gifts,3,16.42,5,Mobile Payment,Uptown,Amanda,46.8
INV1053,7/15/2025,Rebecca Brown,diane22@ferguson.com,Hot Chocolate Mix,Nuts,1,19.44,5,Credit Card,Uptown,Christopher,18.47
INV1054,3/14/2025,Maureen Reyes,taylorpaul@reese.com,Dark Chocolate Bar,Gifts,8,6.07,0,Mobile Payment,Mall Outlet,Heather,48.56
INV1055,12/14/2025,Laura Gonzalez,nicolescott@gmail.com,Chocolate Gift Box,Truffles,6,22.32,10,Mobile Payment,Mall Outlet,Michael,120.53
INV1056,10/12/2025,Brent Scott,steven97@knight.info,Milk Chocolate Bar,Truffles,8,22.12,15,Cash,Mall Outlet,Edward,150.42
INV1057,11/1/2025,Gregory Martinez,edwardgray@bowman.net,Chocolate Truffles,Nuts,9,3.16,15,Credit Card,Airport Kiosk,Deborah,24.17
INV1058,3/22/2025,William Williams,ghernandez@hotmail.com,Dark Chocolate Bar,Gifts,5,21.08,0,Mobile Payment,Mall Outlet,Ruben,105.4
INV1059,4/6/2025,Jonathan Garcia,diane41@hotmail.com,Chocolate Truffles,Bars,3,5.4,15,Online Transfer,Downtown,Rita,13.77
INV1060,10/10/2025,Frank Holder,hbrown@turner.net,Chocolate-Covered Nuts,Nuts,5,10.04,15,Mobile Payment,Downtown,Alex,42.67
INV1061,12/2/2025,John Stevens,clarence83@hoffman.com,Milk Chocolate Bar,Truffles,5,19.23,15,Cash,Mall Outlet,Ruben,81.73
INV1062,9/8/2025,Jason Montes,woodsjeremiah@gmail.com,Milk Chocolate Bar,Truffles,5,6.12,15,Online Transfer,Downtown,Francisco,26.01
INV1063,12/29/2025,Jonathan Frank,morenojason@patterson.com,Dark Chocolate Bar,Nuts,3,20.9,10,Cash,Airport Kiosk,Jeff,56.43
INV1064,10/26/2025,Greg Jones,james28@pena.net,Milk Chocolate Bar,Gifts,4,21.22,15,Mobile Payment,Downtown,Peggy,72.15
INV1065,4/7/2025,Tiffany Bowers,megan58@frazier-howell.org,Hot Chocolate Mix,Truffles,9,13.92,5,Online Transfer,Airport Kiosk,Kelly,119.02
INV1066,3/4/2025,Mark Guerrero,bjones@barr.com,Milk Chocolate Bar,Gifts,9,2.64,0,Credit Card,Uptown,Alejandro,23.76
INV1067,6/27/2025,Jennifer Mendez,freemanmichael@moore.info,Chocolate Truffles,Truffles,2,8.96,10,Credit Card,Uptown,Paula,16.13
INV1068,7/7/2025,Sean Baker,bhernandez@smith-wilson.biz,Chocolate Truffles,Truffles,8,16.38,15,Online Transfer,Uptown,Brittany,111.38
INV1069,9/1/2025,Mr. Joseph Valentine,charlesbrown@gmail.com,Chocolate Gift Box,Beverages,8,24.58,10,Online Transfer,Uptown,John,176.98
INV1070,2/6/2026,Ernest Brown,davidsilva@young-banks.net,Chocolate Truffles,Truffles,7,16.72,15,Cash,Downtown,Stephanie,99.48
INV1071,1/29/2026,Jennifer Perez,moorelisa@gmail.com,Chocolate Gift Box,Bars,8,8.35,5,Online Transfer,Mall Outlet,Jared,63.46
INV1072,1/28/2026,Kimberly Barnett,dharvey@yahoo.com,Chocolate Truffles,Nuts,3,16.77,0,Cash,Downtown,Samantha,50.31
INV1073,8/12/2025,Laura Camacho,lisaolson@hotmail.com,Hot Chocolate Mix,Nuts,6,14.65,15,Mobile Payment,Airport Kiosk,Cynthia,74.72
INV1074,9/29/2025,Eric Patel,hillthomas@wright.com,Chocolate Gift Box,Gifts,1,20.05,15,Cash,Downtown,Samantha,17.04
INV1075,3/4/2025,Vincent Farley,karenramirez@yahoo.com,White Chocolate Bar,Truffles,7,4.91,15,Online Transfer,Downtown,Nicole,29.21
INV1076,4/10/2025,Andrew Herrera,benjamin18@warner.com,Chocolate-Covered Nuts,Bars,1,19.62,15,Online Transfer,Airport Kiosk,Michelle,16.68
INV1077,12/27/2025,Dawn Martinez,parkermike@yahoo.com,Dark Chocolate Bar,Gifts,9,14.68,0,Mobile Payment,Uptown,Haley,132.12
INV1078,5/1/2025,Erin Moore,aguilarariel@yahoo.com,Chocolate Truffles,Beverages,1,24.17,0,Online Transfer,Uptown,Catherine,24.17
INV1079,12/26/2025,Joseph Christian,nicholaschoi@thompson-morse.net,Milk Chocolate Bar,Gifts,1,10.19,5,Online Transfer,Uptown,Matthew,9.68
INV1080,12/20/2025,Richard Russell,leenatalie@ruiz.com,Chocolate Truffles,Gifts,7,16.73,0,Credit Card,Mall Outlet,Hayden,117.11
INV1081,6/30/2025,Francisco Turner,reedtodd@cooper-ramirez.com,Milk Chocolate Bar,Truffles,2,23.47,15,Credit Card,Airport Kiosk,Douglas,39.9
INV1082,3/3/2025,Jennifer Cannon,david64@smith.com,Chocolate-Covered Nuts,Beverages,5,4.81,5,Mobile Payment,Airport Kiosk,Angela,22.85
INV1083,4/7/2025,Lauren Mills,michael48@perez.biz,Chocolate-Covered Nuts,Gifts,8,23.59,5,Cash,Downtown,Sarah,179.28
INV1084,6/1/2025,Megan Greene,rebecca74@potts-erickson.com,Chocolate-Covered Nuts,Bars,8,17.98,5,Credit Card,Mall Outlet,Travis,136.65
INV1085,9/13/2025,Daniel Webb,michael18@yahoo.com,Milk Chocolate Bar,Bars,3,4.03,15,Cash,Uptown,Kevin,10.28
INV1086,4/21/2025,Casey Grant,tonya07@torres-hamilton.com,Chocolate Truffles,Nuts,7,9.27,10,Online Transfer,Mall Outlet,Patricia,58.4
INV1087,1/18/2026,Jesse Green,frobinson@gmail.com,Chocolate-Covered Nuts,Beverages,3,18.43,15,Credit Card,Airport Kiosk,Kimberly,47
INV1088,11/24/2025,Laura Maldonado,kennethhayes@yahoo.com,Hot Chocolate Mix,Beverages,6,4.02,0,Mobile Payment,Airport Kiosk,Anna,24.12
INV1089,8/10/2025,Rachel Williams,monicaphillips@young.com,Chocolate Gift Box,Nuts,6,15.6,0,Mobile Payment,Downtown,Martha,93.6
INV1090,10/31/2025,Juan Brock,bakerbrittney@holt.com,Milk Chocolate Bar,Gifts,3,10.28,15,Mobile Payment,Downtown,Scott,26.21
INV1091,9/29/2025,Caitlyn Robertson,egreen@flores.com,Milk Chocolate Bar,Beverages,7,16.47,15,Credit Card,Airport Kiosk,Lisa,98
INV1092,2/11/2025,Nicholas Murphy,russellanna@garcia-morgan.com,Chocolate Truffles,Bars,3,3.53,5,Cash,Uptown,Christy,10.06
INV1093,9/18/2025,Christopher Ho,lopezvictor@hotmail.com,Milk Chocolate Bar,Bars,8,22.11,15,Online Transfer,Uptown,Amy,150.35
INV1094,9/14/2025,Jennifer Salazar,jason20@ingram-smith.net,Milk Chocolate Bar,Truffles,4,24.4,5,Cash,Mall Outlet,Christina,92.72
INV1095,10/17/2025,Matthew Brown,cjohnson@hotmail.com,Chocolate-Covered Nuts,Beverages,1,24.3,0,Cash,Airport Kiosk,Jennifer,24.3
INV1096,12/12/2025,Jason Johnston,murphygabriel@lopez.com,Chocolate Truffles,Gifts,4,19.37,5,Online Transfer,Airport Kiosk,Michelle,73.61
INV1097,7/29/2025,Angela Gardner,gregorymoran@yahoo.com,Chocolate-Covered Nuts,Nuts,7,5.43,15,Online Transfer,Uptown,Laura,32.31
INV1098,11/28/2025,Anthony Patel,michael18@bennett.com,Chocolate Gift Box,Nuts,4,19.56,0,Credit Card,Uptown,Michael,78.24
INV1099,8/2/2025,Peter Chapman,ogordon@yahoo.com,Chocolate Gift Box,Gifts,6,3.05,10,Credit Card,Airport Kiosk,Donald,16.47
INV1100,4/10/2025,Robert Choi,denisewright@douglas.biz,Chocolate-Covered Nuts,Truffles,9,3,5,Credit Card,Downtown,Margaret,25.65
INV1101,9/24/2025,Joseph Gibson,janet89@mccormick.com,Chocolate Gift Box,Nuts,1,9.78,0,Credit Card,Airport Kiosk,Elizabeth,9.78
INV1102,4/23/2025,Thomas Silva,careydeborah@hotmail.com,Chocolate Truffles,Beverages,5,13.49,5,Credit Card,Airport Kiosk,Sarah,64.08
INV1103,4/10/2025,Dr. Donald Sampson,jonescrystal@spencer.com,Dark Chocolate Bar,Truffles,7,19.83,0,Online Transfer,Uptown,George,138.81
INV1104,3/28/2025,Amy Klein,martinezmichael@jackson-soto.com,Chocolate-Covered Nuts,Beverages,1,17.87,0,Cash,Uptown,Dana,17.87
INV1105,11/19/2025,Susan Smith,newtonjennifer@strickland-jones.info,Hot Chocolate Mix,Bars,4,12.53,5,Credit Card,Downtown,Madison,47.61
INV1106,9/17/2025,Victoria Orozco,qwilson@hotmail.com,Hot Chocolate Mix,Truffles,6,8.66,10,Credit Card,Downtown,Charles,46.76
INV1107,2/28/2025,Laura Rogers,george14@gmail.com,Milk Chocolate Bar,Nuts,2,24.94,0,Cash,Mall Outlet,John,49.88
INV1108,2/11/2025,Brittany Alexander,cowens@yahoo.com,Chocolate Gift Box,Truffles,5,12.09,0,Credit Card,Airport Kiosk,James,60.45
INV1109,3/16/2025,Patricia Boone,moonbrenda@ball.org,Hot Chocolate Mix,Truffles,1,12.66,0,Cash,Uptown,Erin,12.66
INV1110,4/12/2025,Jonathon Fields,balllisa@gmail.com,Milk Chocolate Bar,Truffles,6,6.18,10,Cash,Downtown,Stephanie,33.37
INV1111,4/14/2025,Tommy Atkins,davisvincent@gmail.com,Dark Chocolate Bar,Truffles,6,20.38,10,Online Transfer,Mall Outlet,Carly,110.05
INV1112,12/12/2025,Dr. Theresa Williams MD,charlesallen@velazquez.net,Chocolate Truffles,Beverages,4,18.11,15,Mobile Payment,Mall Outlet,Nicole,61.57
INV1113,6/7/2025,Hannah Jones,tina15@smith.org,Chocolate Truffles,Bars,8,7.47,5,Online Transfer,Uptown,Leslie,56.77
INV1114,11/25/2025,Ryan Ramirez,jeremiah96@yahoo.com,Chocolate Truffles,Gifts,4,4.35,10,Mobile Payment,Uptown,Melinda,15.66
INV1115,8/19/2025,Wendy Barr,madeline72@mitchell.com,Hot Chocolate Mix,Truffles,8,17.81,5,Mobile Payment,Mall Outlet,Trevor,135.36
INV1116,8/4/2025,William Green,dwilson@yahoo.com,Dark Chocolate Bar,Nuts,8,17.23,15,Mobile Payment,Downtown,Cynthia,117.16
INV1117,4/30/2025,Mark Garcia,andrewroach@porter.net,Hot Chocolate Mix,Truffles,5,8.65,5,Credit Card,Mall Outlet,Michelle,41.09
INV1118,3/25/2025,Nathan Nichols,calvinmoore@hotmail.com,Chocolate Gift Box,Nuts,4,23.89,10,Online Transfer,Airport Kiosk,Edward,86
INV1119,8/19/2025,Charles Hurley,rhonda85@gmail.com,Hot Chocolate Mix,Beverages,2,5.9,5,Mobile Payment,Airport Kiosk,Lisa,11.21
INV1120,4/26/2025,Linda Jones,mercedes12@yahoo.com,Dark Chocolate Bar,Nuts,3,12.23,10,Cash,Uptown,Annette,33.02
INV1121,2/6/2026,Rachel Sandoval,melissaowens@gmail.com,Dark Chocolate Bar,Gifts,3,23.73,5,Credit Card,Downtown,Brent,67.63
INV1122,4/11/2025,Morgan Thomas,nreed@gmail.com,Chocolate Gift Box,Bars,4,11.94,10,Online Transfer,Downtown,Stephanie,42.98
INV1123,6/29/2025,Danielle Brown DDS,tfernandez@hotmail.com,Dark Chocolate Bar,Nuts,4,16.87,10,Mobile Payment,Airport Kiosk,Jeffrey,60.73
INV1124,12/31/2025,Lori Lawrence,wward@sanchez.org,Dark Chocolate Bar,Nuts,5,11.45,5,Cash,Mall Outlet,Steven,54.39
INV1125,1/8/2026,Nichole Reed,vbarton@gmail.com,Chocolate Truffles,Bars,4,8.67,15,Online Transfer,Uptown,Juan,29.48
INV1126,9/19/2025,Monica Smith,anthonylevine@yahoo.com,Chocolate Gift Box,Gifts,8,24.64,0,Online Transfer,Mall Outlet,Paul,197.12
INV1127,1/2/2026,Joseph Pratt,pwoods@hotmail.com,White Chocolate Bar,Truffles,6,11.71,15,Credit Card,Mall Outlet,David,59.72
INV1128,3/10/2025,Stacey Carrillo,brandon40@hotmail.com,White Chocolate Bar,Nuts,6,22.62,5,Online Transfer,Mall Outlet,Christopher,128.93
INV1129,4/28/2025,Debra Sanders,michellerodriguez@gmail.com,Dark Chocolate Bar,Bars,8,7.67,15,Credit Card,Downtown,Patricia,52.16
INV1130,3/26/2025,Rebekah Williams,andrew42@garcia.org,White Chocolate Bar,Beverages,7,7.29,10,Mobile Payment,Airport Kiosk,Edward,45.93
INV1131,2/27/2025,Justin Walsh,williamsdouglas@gmail.com,White Chocolate Bar,Bars,8,3.2,0,Credit Card,Downtown,Tony,25.6
INV1132,2/19/2025,Daniel Williams DVM,bowmanaustin@wilson-watson.com,Dark Chocolate Bar,Beverages,2,17.16,5,Cash,Airport Kiosk,Eduardo,32.6
INV1133,10/28/2025,Sara Collins,maryrobinson@hotmail.com,White Chocolate Bar,Gifts,9,10.79,5,Credit Card,Uptown,Toni,92.25
INV1134,5/21/2025,Martin Mcneil,ramosdarlene@gmail.com,Hot Chocolate Mix,Truffles,1,21.95,5,Cash,Uptown,Nichole,20.85
INV1135,11/11/2025,Linda Garcia,webbkaren@hotmail.com,Milk Chocolate Bar,Bars,8,13.15,0,Credit Card,Mall Outlet,Melissa,105.2
INV1136,11/5/2025,Frances Rivera,hweaver@figueroa.biz,Chocolate Gift Box,Nuts,4,24.28,10,Online Transfer,Airport Kiosk,Travis,87.41
INV1137,10/31/2025,Laura Barker,roger58@gmail.com,Milk Chocolate Bar,Gifts,4,6.67,5,Mobile Payment,Airport Kiosk,Jonathan,25.35
INV1138,6/8/2025,Christopher Potter,allisonkathryn@gmail.com,Dark Chocolate Bar,Bars,5,22.04,15,Cash,Airport Kiosk,Kevin,93.67
INV1139,3/30/2025,George Cannon,paulwalker@yahoo.com,Chocolate Truffles,Nuts,8,19.97,5,Credit Card,Mall Outlet,Janice,151.77
INV1140,1/19/2026,Megan Morales,esparks@hotmail.com,Chocolate Gift Box,Bars,5,19.85,5,Credit Card,Mall Outlet,Paul,94.29
INV1141,11/16/2025,Jason Price,mcphersontyler@johns.com,Dark Chocolate Bar,Beverages,8,21.51,5,Credit Card,Uptown,Allen,163.48
INV1142,6/16/2025,Madison Fitzgerald,kimberly63@hotmail.com,Chocolate Truffles,Bars,1,19.62,5,Online Transfer,Downtown,David,18.64
INV1143,2/14/2025,Douglas Rowe,tbrown@hotmail.com,Milk Chocolate Bar,Bars,9,16.59,10,Online Transfer,Airport Kiosk,Mark,134.38
INV1144,8/21/2025,Joshua Anthony,xwolfe@cruz.net,Dark Chocolate Bar,Bars,6,5.45,15,Cash,Airport Kiosk,Dennis,27.8
INV1145,9/29/2025,Heather Foster,lyoung@wright.com,Chocolate Gift Box,Gifts,3,3.23,10,Cash,Downtown,Kelly,8.72
INV1146,5/5/2025,Jordan Garcia,ksmith@smith.com,Chocolate Gift Box,Bars,8,23.22,15,Online Transfer,Airport Kiosk,John,157.9
INV1147,10/22/2025,Kelly Kirk,maysmisty@hotmail.com,Chocolate-Covered Nuts,Nuts,9,16.37,5,Cash,Mall Outlet,Joshua,139.96
INV1148,7/12/2025,James Holmes,michael22@hotmail.com,Hot Chocolate Mix,Beverages,6,20.42,0,Mobile Payment,Mall Outlet,Katelyn,122.52
INV1149,4/23/2025,Brandi Gaines,tlarson@mejia.com,White Chocolate Bar,Beverages,7,13.33,10,Mobile Payment,Airport Kiosk,Desiree,83.98
INV1150,8/28/2025,Thomas Austin,kaustin@hotmail.com,Chocolate Truffles,Bars,1,5.14,0,Online Transfer,Mall Outlet,David,5.14
INV1151,3/9/2025,Cheryl Pearson,dhall@yahoo.com,Chocolate-Covered Nuts,Gifts,5,5.32,10,Cash,Mall Outlet,Carolyn,23.94
INV1152,12/17/2025,Michael George,thomas88@gmail.com,White Chocolate Bar,Gifts,5,17.93,5,Credit Card,Airport Kiosk,Travis,85.17
INV1153,5/10/2025,Melissa Anderson,elizabeth75@santana.com,White Chocolate Bar,Nuts,4,12.18,10,Mobile Payment,Uptown,Tammy,43.85
INV1154,2/1/2026,Ashley Houston,yward@steele.com,Dark Chocolate Bar,Bars,6,7.01,5,Online Transfer,Downtown,Angela,39.96
INV1155,12/11/2025,Dean Campbell,qjoseph@yahoo.com,White Chocolate Bar,Beverages,7,13.56,10,Cash,Mall Outlet,Todd,85.43
INV1156,9/15/2025,Sheri Mitchell,mary12@gmail.com,Hot Chocolate Mix,Gifts,9,3.94,5,Online Transfer,Uptown,Elizabeth,33.69
INV1157,1/23/2026,Steven Roberts,gsanchez@yahoo.com,Chocolate Gift Box,Bars,1,15.59,5,Credit Card,Mall Outlet,Alicia,14.81
INV1158,4/4/2025,Andrew Howell,katherinepowell@hughes-russell.net,Chocolate-Covered Nuts,Gifts,6,8.55,15,Mobile Payment,Mall Outlet,Catherine,43.6
INV1159,10/24/2025,Maria Perry,mthomas@yahoo.com,White Chocolate Bar,Gifts,7,20.45,5,Online Transfer,Downtown,Diana,135.99
INV1160,11/12/2025,Cynthia Cantu,tannerjones@cameron.com,Dark Chocolate Bar,Beverages,3,9.48,15,Online Transfer,Mall Outlet,Edward,24.17
INV1161,12/28/2025,Amber Roberts,jacquelineharris@gmail.com,Hot Chocolate Mix,Truffles,8,12.74,5,Online Transfer,Downtown,Laurie,96.82
INV1162,9/11/2025,William Smith,alex37@hotmail.com,Milk Chocolate Bar,Nuts,5,2.76,0,Credit Card,Downtown,Malik,13.8
INV1163,6/11/2025,Janet Smith,pruittsheila@hotmail.com,Chocolate Gift Box,Nuts,9,4.13,5,Online Transfer,Downtown,Amanda,35.31
INV1164,1/3/2026,Olivia Robinson,ilowe@yahoo.com,Chocolate Gift Box,Beverages,5,11.33,0,Credit Card,Uptown,Daniel,56.65
INV1165,3/25/2025,Abigail Cook,xcontreras@powell-bell.net,Chocolate-Covered Nuts,Gifts,9,13.3,0,Credit Card,Airport Kiosk,John,119.7
INV1166,2/23/2025,James Barr,charlesdavis@strickland.biz,Chocolate Gift Box,Bars,4,16,5,Credit Card,Uptown,Scott,60.8
INV1167,9/30/2025,Mr. Shaun Schneider,laurengibson@hotmail.com,White Chocolate Bar,Gifts,9,9.06,0,Mobile Payment,Airport Kiosk,Robert,81.54
INV1168,9/4/2025,Aaron Anderson,wolfejessica@gmail.com,Dark Chocolate Bar,Beverages,5,18.14,15,Mobile Payment,Airport Kiosk,Nathan,77.1
INV1169,12/12/2025,Jason Finley,griffincharles@gmail.com,Chocolate Gift Box,Nuts,9,21.85,10,Online Transfer,Downtown,Kelsey,176.98
INV1170,2/12/2025,Karen Francis,vsmith@romero.org,Chocolate Gift Box,Gifts,3,20.05,5,Online Transfer,Mall Outlet,Glenn,57.14
INV1171,10/18/2025,Kimberly Higgins,cbolton@gmail.com,Milk Chocolate Bar,Nuts,4,3.39,0,Mobile Payment,Downtown,Carmen,13.56
INV1172,6/21/2025,Terri Martin,sharpscott@ryan-miller.com,Milk Chocolate Bar,Bars,9,13.31,5,Cash,Mall Outlet,Connor,113.8
INV1173,5/30/2025,Joshua Watts,markjimenez@fletcher.com,Chocolate Truffles,Nuts,6,4.86,15,Mobile Payment,Airport Kiosk,Dennis,24.79
INV1174,4/29/2025,Jeremy Anderson,dominique74@park.net,Hot Chocolate Mix,Nuts,2,7.95,5,Credit Card,Downtown,Jorge,15.1
